NNT,NumSujet,Auteurs,Titre FR,Titre EN,Directeurs,Discipline,Date de soutenance,Date de première inscription,Etablissement de soutenance,Code etablissement,Etablissement de cotutelle,Ecoles doctorales,Partenaires de recherche,Président du jury,Rapporteurs,Examinateurs,Mots clés FR,Mots clés EN,Langue,Source,Statut,Accessible,Abstract_EN
2015TOU10003,,"Truong, Minh Thai (18448328X)",To Develop a Database Management Tool for Multi-Agent Simulation Platform,To Develop a Database Management Tool for Multi-Agent Simulation Platform,"Sibertin-Blanc, Christophe (075964562) || Amblard, Frédéric (077629450) || Gaudou, Benoit (131428438)",Informatique,11/02/2015,,Toulouse 1 (026404354),TOU1,,"École doctorale Mathématiques, informatique et télécommunications (Toulouse) (142547247)",Institut de Recherche en Informatique de Toulouse (1995-....) (030947448),,,,Entrepôts de données || Intelligence artificielle répartie || Modèle par agents,,en,star,soutenue,oui,"Recently, there has been a shift from modeling driven approach to data driven approach inAgent Based Modeling and Simulation (ABMS). This trend towards the use of data-driven approaches in simulation aims at using more and more data available from the observation systems into simulation models (Edmonds and Moss, 2005; Hassan, 2009). In a data driven approach, the empirical data collected from the target system are used not only for the design of the simulation models but also in initialization, calibration and evaluation of the output of the simulation platform such as e.g., the water resource management and assessment system of the French Adour-Garonne Basin (Gaudou et al., 2013) and the invasion of Brown Plant Hopper on the rice fields of Mekong River Delta region in Vietnam (Nguyen et al., 2012d). That raises the question how to manage empirical data and simulation data in such agentbased simulation platform. The basic observation we can make is that currently, if the design and simulation of models have benefited from advances in computer science through the popularized use of simulation platforms like Netlogo (Wilensky, 1999) or GAMA (Taillandier et al., 2012), this is not yet the case for the management of data, which are still often managed in an ad hoc manner. Data management in ABM is one of limitations of agent-based simulation platforms. Put it other words, such a database management is also an important issue in agent-based simulation systems. In this thesis, I first propose a logical framework for data management in multi-agent based simulation platforms. The proposed framework is based on the combination of Business Intelligence solution and a multi-agent based platform called CFBM (Combination Framework of Business intelligence and Multi-agent based platform), and it serves several purposes: (1) model and execute multi-agent simulations, (2) manage input and output data of simulations, (3) integrate data from different sources; and (4) analyze high volume of data. Secondly, I fulfill the need for data management in ABM by the implementation of CFBM in the GAMA platform. This implementation of CFBM in GAMA also demonstrates a software architecture to combine Data Warehouse (DWH) and Online Analytical Processing (OLAP) technologies into a multi-agent based simulation system. Finally, I evaluate the CFBM for data management in the GAMA platform via the development of a Brown Plant Hopper Surveillance Models (BSMs), where CFBM is used ii not only to manage and integrate the whole empirical data collected from the target system and the data produced by the simulation model, but also to calibrate and validate the models.The successful development of the CFBM consists not only in remedying the limitation of agent-based modeling and simulation with regard to data management but also in dealing with the development of complex simulation systems with large amount of input and output data supporting a data driven approach."
1999MNHN0001,,"Hassanin, Alexandre (115080724)","Phylogénie des bovidae (Mammalia, artiodactyla) : Apports de l’ADN ancien, évolution moléculaire et stratégies de pondération","Phylogeny of the family bovidae (mammalia, artiodactyla). Ancient DNA, molecular evolution, and weighting strategies","Lumley, Henry de (026997894)",Sciences biologiques et fondamentales appliquées. Psychologie,01/01/1999,,"Paris, Muséum national d'histoire naturelle (026394944)",MNHN,,"DIVONA (DIVersités, Origines, NAtures - ED227 MNHN-SU) (Paris ; 1995-....) (12718550X)",,,"Adoutte, André (02968756X) || Deutsch, Jean S. (033641730) || Luckett, Patrick (190005890)","Lumley, Henry de (026997894) || Barriel, Véronique (057247153) || Tillier, Simon (027163520) || Tranier, Michel (03056218X)",,,fr,sudoc,soutenue,non,
2020NORMR027,,"Mania, Élodie (252425006)","Diversification du commerce, vulnérabilité et développement économique.","Trade diversification, vulnerability and economic development","Rieber, Arsène (075684543)",Sciences economiques,10/12/2020,,Normandie (190906332),NORM,,École doctorale économie-gestion Normandie (Caen) (175266549),"Laboratoire d'analyse des sociétés, transformations et adaptations (Rouen ; 2019-....) (252439139), Laboratoire d'Analyse des Sociétés- Transformations et Adaptations / LASTA",,"Cling, Jean-Pierre (028954564) || Serranito, Francisco (133552616)","Couharde, Cécile (076145182) || Amable, Bruno (035054883) || Nubukpo, Kako (052658767)",Développement économique -- Environnement || Exportations -- Pays en développement || Diversification (économie politique) || Développement économique || Diversification des exportations || Pays en développement || Croissance économique || Développement économique || Environnement || Résilience macroéconomique,Export diversification || Developing countries || Economic growth || Economic development || Environment || Macroeconomic resilience,fr,star,soutenue,oui,"Recent economic literature and major international organizations are agreed on the virtues of export diversification as a development strategy for developing countries. The consensus has two main sources: the successful experience of the Asian emerging countries on the one hand, and the numerous empirical studies showing positive relationship between diversification and economic growth on the other hand. The consensus is new since the debate was at the center of the controversies between free-trade and structuralist economists in the 1950s. Since Ricardo (1817), the former had been inspired by traditional theories of international trade and advocated free trade and specialization based on a country’s comparative advantages. Conversely, the pioneers of development economics emphasized the need for development policies to introduce distortions into the specialization mechanisms of comparative advantages, as the process of structural change is driven by diversification and export composition. The thesis explores theoretically and empirically the relationship between export diversification and economic development in the present context of globalization. Firstly, the integration of developing countries into global value chains, where countries no longer specialize in the production of a product but in a delimited segment of the production process, questions the relationship. The consequences of the disconnection between a country’s productive structure and its export diversification are analyzed through an extension of Thirlwall’s (1979) post-Keynesian model. The analysis allows us to emphasize the heterogeneity of diversification models of three developing regions, namely sub-Saharan Africa, developing Asia and Latin America. We thereafter attempt to open the black box that constitutes the relationship between export diversification and economic growth. The transmission channels of the relationship will be examined by using the properties of an extended Kaldor-Verdoorn Law that assesses the impact of export diversification on productivity growth and the degree of returns to scale for several countries. Secondly, as far as countries are concerned, the compatibility of export diversification strategy with the environmental challenges is questioned. Our preliminary results suggest that a higher level of carbon dioxide (CO2) emissions is associated with a more diversified export basket. Further investigation from theoretical and empirical analyses demonstrates that the positive effect on CO2 emissions is valid for the upper-middle income and the high-income economies. Finally, we approach export diversification from the perspective of trading partner diversification in a case study on Vietnam. We analyze the country’s growth performance by measuring the contribution of its trading partners to its external constraint in a multi-country balance of payments constrained growth model. The study case questions the macroeconomic resilience and the virtues of a development model driven exclusively by international trade nowadays"
2013ECAP0046,,"Diviné, Marc (177057238)","La collaboration virtuelle : Proposition d'un modèle, d'une mesure et d'une méthode d'aide au management d'entités virtuelles","Virtual collaboration : Proposition of a model, a measurement and a method supporting the management of virtual entities","Stal-Le Cardinal, Julie (166655570)",Génie industriel,11/07/2013,,"Châtenay-Malabry, Ecole centrale de Paris (027960250)",ECAP,,"École doctorale Sciences pour l'Ingénieur (Châtenay-Malabry, Hauts de Seine ; 1998-2015) (147964679)","Laboratoire génie industriel (Gif-sur-Yvette, Essonne) (148257844)","Vajna, Alexandre","Dion, Delphine (108963365) || Mekhilef, Mounib (095114335)","Stal-Le Cardinal, Julie (166655570) || Dion, Delphine (108963365) || Mekhilef, Mounib (095114335)",Entreprises virtuelles || Réseaux sociaux (Internet) || Gestion d'entreprise || Equipes virtuelles || Management virtuel || Communautés,Virtual teams || Virtual management || Communities,fr,star,soutenue,oui,"Virtual teams and communities become a widely spread collective relational mode. They have specific characteristics: geographical distances, physical meetings rare or nonexistent, ability to include large numbers, ease of input-output, dominant written communication, erasure of social status. They can benefit from a large number of web 2.0 collaborative tools with their own capacities, such as the storage of communications, the possibility of synchronous and asynchronous dialogue, multiple simultaneous exchanges, eventual anonymity. The e-collaboration requires the acquisition of a new imperative skill that we call virtual management. Based on the Systemic Analysis and Adaptive Structuration Theory, this research proposes a model, a measurement and a method, the Virtual Entities Management Support. The model is a representation of a virtual entity in three functional dimensions: the collective value, member satisfaction, and flexible frontiers. It is based on the concept of adjacency, which adds to the two roles of the individual - the agent acting for the community, and the actor acting for himself - the person connected to other individuals or communities with the same area of interest. Any virtual entity is connected to adjacent individuals and communities, an area of interest of the virtual management. The proposed measurement of e-collaboration includes the use and the interest for 18 collaborative tools. It was conducted with a sample of 199 companies for three years. This database processing has enabled the creation of the model. It reveals subgroups hostile or for e-collaboration and under what conditions it is interesting. It provides trends. Thus, the practice of community management begins to be used internally in the management of virtual teams. The sample of large firms also showed that e-collaboration is ahead in an emerging country, Vietnam, compared with France.  The research also proposes a Virtual Entities Management Support method, called VEMS. It starts with an analysis of the environment, the definition of a strategy in three dimensions, and then determines the functions of the team or community, the attitudes and its appropriate tools. It offers a choice of 18 functions and 79 attitudes derived from the literature recommendations and enriched with the sample observations. This method has been applied to five virtual entities of different kinds: internal to an industrial manufacturer and a large bank, external to a social network, a community of fans of web series, and another community of fans of cookery. This entities include from 40 up to 160,000 members. For each, a strategy has been defined, with a specific set of attitudes and tools, the starting point of an operational program. Five functions and 22 attitudes are common to all the entities studied, six of which relate to adjacencies. They can be considered as the foundation of virtual management. The method has also been deployed to four brand communities of a sector with low consumer engagement. Four scenarios were deducted, including the participation to an adjacent community, preferable to the creation of a brand community."
2019LYSE1111,,"Tran, Manh Tien (240566319)",Caractérisation expérimentale et modélisation numérique du comportement thermomécanique à haute température des matériaux composites renforcés par des fibres,Experimental characterization and numerical modeling of the thermomechanical behavior at high-temperature composite materials reinforced by fibers,"Ferrier, Emmanuel (168999560) || Vu, Xuan Hong (121663639)",Génie civil,16/07/2019,,Lyon (190915757),LYSE,,"École doctorale Mécanique, Energétique, Génie Civil, Acoustique (Villeurbanne ; 1993-....) (149942109)","Université Claude Bernard (Lyon ; 1971-....) (026402823), Laboratoire des Matériaux Composites pour la Construction (Villeurbanne, Rhône) (196695600)","Agbossou, Amen (081371888)","Duquesne, Sophie (060646144) || Longuet, Claire (077451457)","Ferrier, Emmanuel (168999560) || Vu, Xuan Hong (121663639) || Lacarrière, Laurie (120183498) || Baranger, Thouraya N. (162010036)",Composites de ciment || Composites à fibres de carbone || Propriétés thermomécaniques || Composites || Composites à fibres || Composite TRC || Comportement thermomécanique || Propriétés thermomécaniques || Textile de carbone || Matrice réfractaire || Interface textile/matrice || Traitement de textile,Reinforced concrete TRC || Thermomechanical behavior || Thermomechanical properties || Carbon textile || Refractory matrix || Textile/matrix interface || Textile treatment,fr,star,soutenue,oui,"TRC materials, consisting of a cement matrix and a reinforcement by textiles or fibers (carbon, glass or other fibre, etc) are often used to repair or/and strengthen the loading structural elements (slab, beam, column) of old civil engineering works. They can also be used as loading elements in new structures (prefabrication element). In order to develop TRC composites with good characteristics at high temperature, a combination has been made between the carbon textiles which have a good mechanical capacity and a refractory matrix which provides a load transfer between the reinforcement textiles and thermally protects them against the action of high temperature. The thermomechanical behavior of carbon TRC composites is experimentally and numerically studied at the mesoscale in this thesis. Scientific advancement on this thesis topic would improve the fire stability of structures that are reinforced by TRC composite materials. This topic would contribute to significant social and economic interests for civil engineering worldwide in general and Vietnam in particular. My thesis work concerns the experimental characterization and numerical modeling of the high temperature thermomechanical behavior of composite materials TRC at the mesoscale. In a first experimental part, the carbon textiles (commercial products on the market), the refractory concrete matrix and the textile/matrix interface were tested at constant temperature thermomechanical regime (ranging from 25 °C to 700 °C). The results obtained showed an effect of the textile treatment on the mechanical behavior and failure mode of the carbon textiles and the textile/matrix interface. An analytical model was also used to identify the evolution of thermomechanical properties of carbon textiles as a function of temperature. The thermal transfer in the cylindrical specimen was carried out to validate the thermal properties of refractory concrete. All results obtained in this part are used as input data for the numerical model in the modeling part. The second experimental part explores the thermomechanical behavior of TRCs under two regimes: thermomechanical at constant temperature and thermomechanical at constant force. Two carbon textiles, which gave the best performance at high temperature, were chosen for the manufacture of TRCs. The experimental results showed a hardening behavior with three or two phases at moderate temperature and a brittle behavior at higher temperature of 500 °C. In thermomechanical regime at constant force, two TRC composites can resist longer than carbon textiles alone thanks to good thermal insulation of refractory matrix. By comparing the two results on the TRC specimens, the effect of textile reinforcement (reinforcement ratio, treatment product and textile geometry) on the thermomechanical behavior was analyzed. All the experimental results of this part were used to validate and compare with those obtained from the numerical model. The purpose of the numerical modeling part is to predict the global thermomechanical"
2007DIJOL017,,"Kennedy, Melissa (120116804)",''Striding both worlds'' : cross-cultural influence in the work of Witi Ihimaera,''Striding both worlds'' : cross-cultural influence in the work of Witi Ihimaera,"Durix, Jean-Pierre (026846519)",Études anglophones,01/01/2007,,Dijon (02819005X),DIJO,University of Canterbury (Nouvelle-Zélande) (02963508X),"Ecole doctorale Langages, Idées, Sociétés, Institutions, Territoires (Dijon ; 2007-2016) (147178576)","Centre Interlangues : texte, image, langage (TIL) (Dijon) (15990465X)",,,"Durix, Jean-Pierre (026846519) || Crinquand, Sylvie (032247826) || Kuiper, Kon (236805118) || Sharrad, Paul (080646654) || Williams, Mark (031127029) || Wilson, Janet (081799187)","Critique et interprétation || Ihimaera, Witi (1944-....) || 20e siècle || Nouvelle-Zélande || Multiculturalisme",,en,sudoc,soutenue,non,"This thesis engages with aspects of Witi Ihimaera’s oeuvre that demonstrate influences from cultures other than Maori. These may be overt in the fiction, such as plot settings in Venice, Vietnam and Canada, or implicit in his writing mode and style, influenced by English romanticism, Pakeha cultural nationalism, Katherine Mansfield’s modernist epiphanies, and Italian verismo opera. In revealing Ihimaera’s indebtedness to cultural and aesthetic influences commonly seen as irrelevant to contemporary Maori literature, this thesis reveals a depth and richness in Ihimaera’s imaginary that is frequently overlooked and undervalued in New Zealand literary interpretation. Illuminating cross-cultural influence in Ihimaera’s works calls into question the applicability of biculturalism as a comprehensive manner of accounting for both Maori cultural ambitions of self-determination and the Maori relationship with Pakeha on the national level. Far from an “us-versus-them” dialectic based on a separatist notion of two individually self-sufficient and complete cultures, Ihimaera’s fiction shows Maori culture to have been shaped by a long history of interaction and influence with the colonial British and the Pakeha. This is manifest in the way that the Maori sovereignty and renaissance movements, which gathered force in the 1970s, have been inspired by European concepts of modernity, the structures of nation building and, more recently, by Western globalization described in the theories of transculturation and diaspora. Similarly, in New Zealand literature, Maori writing is commonly considered a parallel genre which describes a distinctive Maori worldview and literary style. Contrary to the familiar interpretation of Ihimaera’s fiction from this standpoint, this thesis argues that an emphasis on difference tends to lose sight of fiction’s capacity to bring into play issues of differentiation, originality and hybridity through its very form and function. In effect, Maori negotiation of its sovereign space in its literature takes place in its forms rather than in its storyline, for example in multiple linguistic significations, in the text’s unstable relationship with reality, and the way that imagery escapes concrete, definitive explanation. In this optic, this thesis analyses little-discussed aspects of Ihimaera’s fiction, including his love of opera, the extravagance of his baroque lyricism, his exploration of the science-fiction genre, and his increasing interest in taking Maori into the international arena. While reading against the grain of current New Zealand literary practice, this thesis does not intend to contest such reading. Rather, it endeavours to present an additional, complementary analytical framework, based on a conviction that contemporary Maori-Pakeha cultural and literary negotiation and contestation is far from unique, but a local manifestation of other international and historical efforts for recognition and respect."
2003PA070085,,"Paquet, Emmanuelle (084175818)",Le système économique vietnamien 1979-2000 : de la réforme à la transformation,,"Chavance, Bernard (026783673)","Lettres, sciences humaines et sociales",01/01/2003,,Paris 7 (027542084),PA07,,,,,,,Politique économique -- Vietnam -- 1975-.... || Conditions économiques -- Vietnam -- 1975-.... || 1970-.... || Vietnam || Économie politique,,fr,sudoc,soutenue,non,"We study the transformations of the Vietnamese economy from 1979 to 2000. It raises two main questions. The first one deals with the nature of the changes: is it a process of reform or a process of post-socialist transformation? The second one is about the economic system in 2000 : is it a form of socialism or a form of capitalism ? With the evolutionary and institutionalist approach that we have chosen, we use three elements in order to characterize an economic system: the political regime, the property rights configuration and the coordination mix. Thus, we emphasize how economic changes have an impact on bureaucratic hierarchy and on the waning of political power. This approach leads us to the conclusion that, from 1979 to 2000, the Vietnamese economic system has changed from socialism to a form of authoritarian capitalism. The Vietnamese experience is an example of an evolutionary path away from socialism, through economic reforms."
2024TLSES366,,"Penicaud, Juliette (285421034)","Étude de l'hydrodynamique et des processus sédimentaires dans un estuaire tropical : le cas de la rivière Van Uc, delta du fleuve Rouge, Vietnam. Influences conjointes de la marée et du débit à différentes échelles temporelles","Study of hydrodynamics and sedimentary processes in a tropical estuary : the case of the Van Uc River, Red River delta, Vietnam. Joint influences of tide and flow at different temporal scales","Ouillon, Sylvain (07901917X) || Herrmann, Marine (137427964)","Océan, Atmosphère, Climat",11/12/2024,,Université de Toulouse (2023-....) (269359931),TLSE,,"École doctorale Sciences de l’univers, de l’environnement et de l’espace (Toulouse) (159341302)","Université Toulouse 3 Paul Sabatier (1969-2024) (026404672), Laboratoire d'Etudes en Géophysique et Océanographie Spatiales (Toulouse ; 1995-....) (114032718)","Van Beek, Pieter (089426312)","Grasso, Florent (138873208) || Brenon, Isabelle (115015833) || Sottolichio, Aldo (158099699)","Némery, Julien (089308867)",Hydrodynamique || Sédimentation (géologie) || Écologie des estuaires || Estuaire || Modélisation || Intrusion saline || Mesures in situ || Hydrodynamique || Sédiments en suspension,Estuary || Modelling || Salt intrusion || In situ measurements || Hydrodynamics || Suspended sediment,fr,star,soutenue,oui,"Estuaries, which are transition zones between rivers and oceans, are crucial for transporting large amounts of sediment and nutrients essential for coastal ecosystems. They are influenced by tidal forces and river flows. These external forces affect the hydrodynamics, and their complex interactions determine the sedimentary and saline structures, which vary according to tidal cycles, seasonal changes, and at interannual scales. In the case of the Red River Delta in Vietnam, the estuarine dynamics are particularly interlinked due to the influence of the monsoon regime, typhoons, and variations in river flow across seasons and years, making this system highly vulnerable to global changes. This thesis focuses on the response of the Van Uc estuary, a distributary of the delta, to various external forces and at different temporal scales, using complementary methods of in situ observations and numerical modeling. Three measurement campaigns have been conducted and have contributed to the study of the evolution of salinity, currents and turbidity at high temporal and spatial frequency during spring tides and under a wide range of flow conditions. In parallel, three-dimensional hydrodynamic simulations were performed using the SYMPHONIE model, specifically adapted to the Van Uc estuary. Additionally, the sediment transport model MUSTANG was used to simulate the transport of fine sediments, evaluating their response to various environmental forces. The Van Uc estuary is dominated by the inflow, and the amplitude of the tidal wave remains constant downstream of the estuary but is attenuated upstream. On a tidal scale, salinity progresses from the mouth to upstream with the tidal cycle, reaching a maximum at the beginning of the ebb tide. During neap tides, an estuarine circulation develops, accompanied by strong stratification up to the limit of saline intrusion. During spring tides, the mixing in the water column increases, reducing stratification and limiting estuarine circulation downstream. The flood limit (position where the reversal of currents produced by the tide vanishes) occurs further upstream in the surface layer than in the bottom layer. During neap tides, it is the opposite due to the established estuarine circulation. Spring tides and high river flows favor tidal asymmetry and attenuation of the tidal wave. During spring tides, the maximum suspended sediment concentration, although relatively small (below 500 mg/l), was measured during the arrival of salinity. The initial sedimentary simulations were generally able to reproduce the variations between neap and spring tides. Saline intrusion is heavily influenced by river flow, with high flows pushing salinity back towards the mouth, while low flows favor its extension upstream. The measurement campaigns allowed to track the evolution of saline intrusion and stratification, showing a reduction in the length of saline intrusion (measured at 4 km upstream of the mouth) and the stratified region during high flows compared to lower flows (intrusion measured at 13 km upstream). The flood limit is also greatly influenced by river flow, being pushed further downstream during high flows. Finally, the estuary is situated in a region where river flows and tides vary greatly on an interannual scale, due to El Niño-Southern Oscillation (ENSO) and variation of the lunar nodal cycle (18.6 years), respectively. This indicates a significant interannual modulation of the balance between these forces. At a larger scale, impacts exacerbated by climate change and human activities (dams, dredging) are expected. This evolving dynamics places the Van Uc estuary at the center of contemporary environmental and scientific issues, combining physical, human, and ecological challenges."
1988PA07A003,,"Thái, Văn Kiểm (029803683)",Lexicographie vietnamienne : l'oeuvre lexicographique des missionnaires et vietnamisants français et des lettrés français,,"Lafont, Pierre-Bernard (026960095)",Lettres,01/01/1989,,Paris 7 (027542084),PA07,,,,,,,Vietnam || Lexicographie,,fr,sudoc,soutenue,non,
2025SORUL007,,"Henni-Trinh Duc, Nicolas (283774525)","Le portrait dans l'art vietnamien. Évolution des usages, des techniques et de l'iconographie sous la dynastie Nguyễn (1802-1945)","Portrait in Vietnamese art. Evolution of the uses, technics and of the iconography during the Nguyễn dynasty (1802-1945)","Gournay, Antoine (077699629)",Histoire de l'art,10/01/2025,,Sorbonne université (221333754),SORU,,École doctorale Histoire de l’art et archéologie (Paris ; 1992-....) (138457212),Centre de Recherches sur l’Extrême Orient de Paris-Sorbonne (Paris ; 1990-....) (03179288X),"Hardy, Andrew David (074756184)","Hardy, Andrew David (074756184) || Nguyen, Phuong Ngoc (082337373)","Roustan, Frédéric (137135165) || Moore, Oliver J. (083938036) || Simioni, Ana Paula (153558938)",Vietnam -- 1802-1945 (Dynastie des Nguyêñ) || Culte des morts || Vietnam || Portraits || Art -- Vietnam || Art vietnamien || Colonisation || Culte des ancêtres || Dynastie Nguyễn || Indochine || Portrait d'ancêtre,Vietnamese art || Colonisation || Ancestor worship || Nguyễn dynasty || Indochina || Ancestor portrait,fr,star,soutenue,non,"Portraits are ubiquitous in Vietnamese art and visual culture, yet the subject has never been extensively studied. This study aims at addressing this gap by analysing the evolution of the usage, techniques, and iconography of portraits during the Nguyễn dynasty (1802-1945). It begins by bringing to light the Buddhist and Taoist origins of rites and representations, before examining the absorption of the portrait practice by a popular Confucian ethos. The socio-political upheavals marking the studied period, and decisively influencing portraits, are sequentially explored. The technological curiosity of the Nguyễn dynasty leads to the adoption of photography, quickly included in the ancestral worship system. At the same time, the incursion of a Western approach of the sense of individuality as well as of the fine-arts practice, results in a renewal of the modes of expression used by the authors of portraits. Finally, the colonial conquest of the territory and the progressive weakening of the imperial court culminate with the multiplication of portraits of the emperor, whereas heretofore it was strictly forbidden to look at him. Based upon  a detailed analysis of a large portrait corpus, both as image and object, combined with contemporary textual sources, this study seeks to reveal the various functions of portraits: cultual, sentimental, political. Notably, it uncovers the special bond between portraits and death, and how portraits translate and equip a certain negation of the absence. Finally, the study explores the complex question of resemblance; the unity of style between portraits and the expectation of a conformity between the image and the model."
2003PA070083,,"Godin, Johann (091426855)",Les relations Etat-entreprises dans le Viet Nam contemporain,,"Chemillier-Gendreau, Monique (026784483)",Science politique,01/01/2003,,Paris 7 (027542084),PA07,,,,,,,Politique économique -- Vietnam -- 1986-.... || Politique publique || Vietnam || Entreprises,,fr,sudoc,soutenue,non,"Renovation policy changes enterprises environment. It renews the connection between enterprises and state. How is the interconnection between state apparatus and economic handlers now formed? Economic activities press upon new bases: private property, deals, search for benefits, offer and demand power. The state recognises thereafter autonomous economic handler' s decisions. It resorts to incitement towards contractors and governs by the law. Entrepreneurs' adaptation to economic market creates a period of shakiness. Freed from bureaucratic authority, they face an experimental deconstruction's conjuncture. Action models are eclectic and economic circuits are transformed. The state uses this opportunity to strengthen its implication and implement the Party's economic development strategy. It may influence economic protagonists, theoretically free but dispersed and dependent. First enterprises are in keeping with state-controlled society; they are working inside a field defined and ordered by state. Second, state offers to support enterprises. Founder of the legal frame, it organises the new socio-economic structure. It offers a financial and practical support and a protection against competition. Implicated in services' field, it may distribute resources. It promotes public enterprises to make them the driving force of the development dynamic. . ."
2017SACLV096,,"Dau, Duc Anh (223821535)",Création et fonctionnement de la Chambre des Représentants du peuple de l'Annam (1926-1945),Creation and operation of the Chamber of the People’s Representatives in Annam (1926-1945),"Mollier, Jean-Yves (027033732)","Histoire, histoire de l'art et archéologie",21/12/2017,,Université Paris-Saclay (ComUE) (188120777),SACL,,"École doctorale Sciences de l'Homme et de la société (Sceaux, Hauts-de-Seine ; 2015-2020) (188168567)","Centre d'histoire culturelle des sociétés contemporaines (Guyancourt, Yvelines ; 1998-....) (085808881), Université de Versailles-Saint-Quentin-en-Yvelines (1991-....) (03082057X)","Yon, Jean-Claude (034425969)","Brocheux, Pierre (033569479) || Garrigues, Jean (029415969)","Le Failler, Philippe (056548648)",Annam (Vietnam) || Politique et gouvernement -- Vietnam -- 1858-1945 || Chambre des Représentants || Représentants du peuple || Annam || Vietnam || Indochine,Chambers of People’s Representatives || People’s Representatives || Annam,fr,star,soutenue,non,"The aims of this thesis is to examine the establishment and functioning of The Chamber of the People's Representatives in Annam before 1945. The main focus is to analyse the process of creation and existence of the Chamber of People’s Representatives in Annam in the Vietnamese society as well as the Franco-Vietnamese cooperation policy in the early years of the early twentieth century. The thesis analyses the operational process of the Chambers of People’s Representatives in Annam from 1926 to 1945 in terms of politics, law, economy, culture and education. Thence, the author figures out the role, significance, contribution as well as restrictions of these activities on the people of Annam and the Vietnamese society in general."
2015PA100059,,"Fucci, Carolina (187506736)","La cattiva strada : linguaggi, scenari e rappresentazioni della protesta giovanile tra usa ed europa nel lungo sessantotto","The bad road : languages, scenarios and representations of the ''long Sixties'' juvenile challenge between Europe and the United States","Mileschi, Christophe (050149423) || Dondi, Mirco (056605366)","Langues, littératures et civilisations romanes : Italien",06/06/2015,,Paris 10 (026403587),PA10,"Università degli studi (Bologne, Italie) (026430479)","École doctorale Lettres, langues, spectacles (Nanterre, Hauts-de-Seine ; 2000-....) (148943268)",Études romanes  (Nanterre) (167985604),"Faverzani, Camillo (057034281)","Benedetti, Carla (030092981)","Mileschi, Christophe (050149423) || Dondi, Mirco (056605366) || Faverzani, Camillo (057034281) || Benedetti, Carla (030092981)",Guerre du Vietnam (1961-1975) || Contre-culture || États-Unis || France || Mouvements étudiants || Protestation || Mouvement étudiant || Anti-Autoritarisme || New left || Contre-Culture || Guerre du Vietnam,Protest || Student movement || Anti-Authoritarianism || New left || Counter-Culture || Vietnam war,it,star,soutenue,oui,"Centred on the political and cultural context of the “long Sixties”, this work examines the reasons and the dynamics of social movements between USA and Europe, focusing on the period from 1960 to the mid-1970s. It was a period of great transformations where the affluent societies witnessed an explosive growth both in social field and in technological domain. This thesis aims above all to understand two main issues: the role counterculture played in the war protest and civil rights movement and the international dimension of this phenomenon. Thus, this research is divided into two parts: the first section concerns with the underground movement beginning with its American roots while the second part is dedicated to the student movement thought an international perspective. Concerning the social actors involved in the mobilisation, this work is focused on three main subjects: the counterculture groups, the several student movements and the militants of Italian 1977 revolt. It means to analyse three different moments in the “protestation cycle” of long Sixties that remains a tumultuous period of paradigm shifts. In spite of this instability, it is possible to indicate some keywords that characterise the spirit of the age: anti-authoritarianism, egalitarianism, repression, rights, and above all, revolution remain the more significant theoretical questions on which this work revolves."
2005BESA2081,,"Nguyễn Việt, Hung (095759972)","Utilisation potentielle des amibes à thèque et des autres micro-organismes des mousses pour la bioindication de la pollution d'origine atmosphérique (NO2, métaux lourds) : études in situ et en conditions contrôlées en France et au Vietnam",,"Badot, Pierre-Marie (031947328)",Sciences de la vie et de l'environnement,01/01/2005,,Besançon (026403188),BESA,,,Université de Franche-Comté. UFR des sciences et techniques (05855968X),,,,Indicateurs biologiques,,fr,sudoc,soutenue,non,
